"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 09 16:21:48 EET 2023","Thu Nov 09 16:21:48 EET 2023","51","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","namePostTest","POST TEST 3x random repetition 3 of 3","tikrinam metoda, POST"
"failed","Thu Nov 09 16:21:47 EET 2023","Thu Nov 09 16:21:47 EET 2023","83","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","namePostTest","POST TEST 3x random repetition 1 of 3","tikrinam metoda, POST"
"passed","Thu Nov 09 16:21:35 EET 2023","Thu Nov 09 16:21:42 EET 2023","6876","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","testCategoryDelete","Test Category Delete","tikrinam metoda, DELETE"
"passed","Thu Nov 09 16:21:45 EET 2023","Thu Nov 09 16:21:47 EET 2023","2173","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","showNamesTest","Show Names Test Tikrinam Get Metoda","tikrinam get metoda, ir ziurim sarasa"
"passed","Thu Nov 09 16:21:44 EET 2023","Thu Nov 09 16:21:45 EET 2023","441","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","namePostTest2","POST TEST 3x repetition 2 of 3","tikrinam metoda, POST"
"passed","Thu Nov 09 16:21:42 EET 2023","Thu Nov 09 16:21:44 EET 2023","2022","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","namePostTest2","POST TEST 3x repetition 1 of 3","tikrinam metoda, POST"
"failed","Thu Nov 09 16:21:48 EET 2023","Thu Nov 09 16:21:48 EET 2023","82","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","namePostTest","POST TEST 3x random repetition 2 of 3","tikrinam metoda, POST"
"passed","Thu Nov 09 16:21:48 EET 2023","Thu Nov 09 16:21:55 EET 2023","7566","","PageClicTest","","PageClicTest","testClick","TestClickPage","tikrinam get metoda, ir ziurim sarasa"
"passed","Thu Nov 09 16:21:47 EET 2023","Thu Nov 09 16:21:47 EET 2023","106","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","testCategoryPut","Test Category Put","tikrinam metoda, PUT"
"passed","Thu Nov 09 16:21:33 EET 2023","Thu Nov 09 16:21:34 EET 2023","746","","resolutionTest","","resolutionTest","galaxyS5Test","galaxyS5Test 360x640","Tikrinam Resolution 360x640"
"passed","Thu Nov 09 16:21:45 EET 2023","Thu Nov 09 16:21:45 EET 2023","131","","BookReservationAppApplicationTests","","BookReservationAppApplicationTests","namePostTest2","POST TEST 3x repetition 3 of 3","tikrinam metoda, POST"
"passed","Thu Nov 09 16:21:34 EET 2023","Thu Nov 09 16:21:35 EET 2023","560","","resolutionTest","","resolutionTest","iPhone4Test","iPhone4Test 320x480","Tikrinam Resolution 320x480"
"passed","Thu Nov 09 16:21:25 EET 2023","Thu Nov 09 16:21:33 EET 2023","8046","","resolutionTest","","resolutionTest","iPhone12ProTest","iPhone12ProTest 390x844","Tikrinam Resolution 390x844"
